0	3274.43
6.10352e-05	9113.09
0.00012207	7687.83
0.000183105	3365.96
0.000244141	4511.58
0.000305176	6547.8
0.000366211	1568.52
0.000427246	7545.69
0.000488281	6276.06
0.000549316	10234.1
0.000610352	8510.93
0.000671387	2293.95
0.000732422	2630.59
0.000793457	9669.48
0.000854492	4585.95
0.000915527	3891.01
0.000976562	5598.63
0.0010376	2785.71
0.00109863	1435.05
0.00115967	1820.61
0.0012207	7597.25
0.00128174	4139.19
0.00134277	1343.63
0.00140381	1336.72
0.00146484	2840.6
0.00152588	3430.14
0.00158691	2823.62
0.00164795	2603.94
0.00170898	7775.48
0.00177002	5919.06
0.00183105	4754.09
0.00189209	2938.06
0.00195312	2732.18
0.00201416	3790.16
0.0020752	1151.53
0.00213623	3091
0.00219727	3953.22
0.0022583	4281.32
0.00231934	4430.17
0.00238037	2197.09
0.00244141	4455.01
0.00250244	2095.03
0.00256348	6076.58
0.00262451	8228.33
0.00268555	3262.53
0.00274658	11832.7
0.00280762	4690.28
0.00286865	567.184
0.00292969	8014.56
0.00299072	4457.43
0.00305176	3593.8
0.00311279	4085.23
0.00317383	4608.7
0.00323486	5279.5
0.0032959	1472.98
0.00335693	679.111
0.00341797	4047.9
0.003479	2985.77
0.00354004	6250.43
0.00360107	3777.73
0.00366211	312.841
0.00372314	7916.45
0.00378418	7377.28
0.00384521	1654.58
0.00390625	6975.34
0.00396729	2357.92
0.00402832	4712.95
0.00408936	7701.05
0.00415039	5237.63
0.00421143	4182.64
0.00427246	5575.91
0.0043335	3383.73
0.00439453	4302.22
0.00445557	3633.97
0.0045166	3530.82
0.00457764	3450.99
0.00463867	1356.25
0.00469971	3196.85
0.00476074	2874.65
0.00482178	7163.13
0.00488281	6175.12
0.00494385	7037.71
0.00500488	2290.31
0.00506592	2722.35
0.00512695	2216.44
0.00518799	3433.51
0.00524902	1928.4
0.00531006	784.581
0.00537109	6190.86
0.00543213	1390.47
0.00549316	9121.96
0.0055542	3804.57
0.00561523	4912.31
0.00567627	2871.22
0.0057373	5463.74
0.00579834	2808.02
0.00585938	5039.47
0.00592041	5124.18
0.00598145	1134.49
0.00604248	2979.77
0.00610352	1598.55
0.00616455	1076.37
0.00622559	1978.71
0.00628662	2074.21
0.00634766	4255.75
0.00640869	3201.81
0.00646973	1322.98
0.00653076	7033.82
0.0065918	1058.88
0.00665283	1283.15
0.00671387	775.725
0.0067749	688.416
0.00683594	4053.44
0.00689697	5501.26
0.00695801	1660.07
0.00701904	770.356
0.00708008	3323.52
0.00714111	2368.08
0.00720215	2111.63
0.00726318	6709.17
0.00732422	2878.03
0.00738525	2967.1
0.00744629	1661.7
0.00750732	2457.3
0.00756836	3690.65
0.00762939	3182.43
0.00769043	1440.36
0.00775146	3324.72
0.0078125	2488.16
0.00787354	5728.62
0.00793457	1948.7
0.00799561	2771.48
0.00805664	7251.92
0.00811768	2506.13
0.00817871	3841.41
0.00823975	5099.44
0.00830078	1793.6
0.00836182	1875.11
0.00842285	2807.06
0.00848389	4288
0.00854492	1212.84
0.00860596	4802.81
0.00866699	3291.05
0.00872803	400.914
0.00878906	5505.9
0.0088501	5886.18
0.00891113	2292.22
0.00897217	3598.04
0.0090332	6298.62
0.00909424	2776.22
0.00915527	3142.95
0.00921631	1904.74
0.00927734	4758.92
0.00933838	3833.62
0.00939941	3784.88
0.00946045	3052.38
0.00952148	3236.11
0.00958252	1655.68
0.00964355	4944.72
0.00970459	388.025
0.00976562	861.533
0.00982666	5292.62
0.0098877	4741.83
0.00994873	3670.61
0.0100098	3959.09
0.0100708	5355
0.0101318	4600.69
0.0101929	4105.01
0.0102539	2736.71
0.0103149	3894.32
0.010376	593.207
0.010437	2823.27
0.010498	1608.97
0.0105591	3308.22
0.0106201	1757.22
0.0106812	866.659
0.0107422	2180.07
0.0108032	2469.19
0.0108643	3775.59
0.0109253	2945.18
0.0109863	2062.39
0.0110474	2669.22
0.0111084	3594.97
0.0111694	1674.79
0.0112305	2965.44
0.0112915	1524.39
0.0113525	91.5216
0.0114136	2932.16
0.0114746	2423.78
0.0115356	5520.39
0.0115967	1276.99
0.0116577	2230.82
0.0117188	3050.51
0.0117798	1002.09
0.0118408	1121.65
0.0119019	1291.97
0.0119629	1395.42
0.0120239	4628.81
0.012085	1385.51
0.012146	1675.48
0.012207	2261.22
0.0122681	2361.13
0.0123291	2800.84
0.0123901	4050.75
0.0124512	3191.24
0.0125122	1309.16
0.0125732	531.368
0.0126343	1359.87
0.0126953	4552.31
0.0127563	3272.2
0.0128174	2629.03
0.0128784	2619.7
0.0129395	2382.17
0.0130005	5411.85
0.0130615	1673.55
0.0131226	1744.14
0.0131836	2478.41
0.0132446	1054.44
0.0133057	2311.13
0.0133667	2444.6
0.0134277	2557.79
0.0134888	2032.63
0.0135498	1632.9
0.0136108	481.436
0.0136719	912.918
0.0137329	2506.3
0.0137939	1146.23
0.013855	3237.7
0.013916	1990.67
0.0139771	3253.33
0.0140381	2513.97
0.0140991	2108.04
0.0141602	2048.04
0.0142212	2792.77
0.0142822	914.116
0.0143433	1096.33
0.0144043	1978.51
0.0144653	1406.29
0.0145264	1197.11
0.0145874	1951.69
0.0146484	1636.44
0.0147095	490.6
0.0147705	1791.95
0.0148315	227.192
0.0148926	1421.56
0.0149536	978.224
0.0150146	259.914
0.0150757	1718.4
0.0151367	1746.47
0.0151978	2190.87
0.0152588	1370.6
0.0153198	839.873
0.0153809	1723.03
0.0154419	2690.11
0.0155029	2874.83
0.015564	2583.55
0.015625	1467.08
0.015686	1862.89
